folder,complexity.json_non_test_average_class_complexity,complexity.json_non_test_average_method_complexity,complexity.json_non_test_max_method_complexity,complexity.json_non_test_min_method_complexity,complexity.json_non_test_total_classes,complexity.json_non_test_total_methods,complexity.json_test_average_class_complexity,complexity.json_test_average_method_complexity,complexity.json_test_max_method_complexity,complexity.json_test_min_method_complexity,complexity.json_test_total_classes,complexity.json_test_total_methods,halstead.json_non_test_N1,halstead.json_non_test_N2,halstead.json_non_test_bugs,halstead.json_non_test_calculated_length,halstead.json_non_test_difficulty,halstead.json_non_test_effort,halstead.json_non_test_error,halstead.json_non_test_h1,halstead.json_non_test_h2,halstead.json_non_test_length,halstead.json_non_test_time,halstead.json_non_test_vocabulary,halstead.json_non_test_volume,halstead.json_test_N1,halstead.json_test_N2,halstead.json_test_bugs,halstead.json_test_calculated_length,halstead.json_test_difficulty,halstead.json_test_effort,halstead.json_test_h1,halstead.json_test_h2,halstead.json_test_length,halstead.json_test_time,halstead.json_test_vocabulary,halstead.json_test_volume,lizard_report.xml_non_test_CCN,lizard_report.xml_non_test_NCSS,lizard_report.xml_non_test_Nr,lizard_report.xml_test_CCN,lizard_report.xml_test_NCSS,lizard_report.xml_test_Nr,raw_metrics.json_non_test_blank,raw_metrics.json_non_test_comments,raw_metrics.json_non_test_lloc,raw_metrics.json_non_test_loc,raw_metrics.json_non_test_multi,raw_metrics.json_non_test_single_comments,raw_metrics.json_non_test_sloc,raw_metrics.json_test_blank,raw_metrics.json_test_comments,raw_metrics.json_test_lloc,raw_metrics.json_test_loc,raw_metrics.json_test_multi,raw_metrics.json_test_single_comments,raw_metrics.json_test_sloc
kan-gpt,3.5,3.9328859060402683,43,1,26,149,0,3.235294117647059,8,1,0,34,29.743589743589745,56.23076923076923,0.20484031077933296,267.9044522279138,3.514001701532575,7589.199208462052,,4.846153846153846,36.84615384615385,85.97435897435898,421.62217824789184,41.69230769230769,614.5209323379989,,,,,,,,,,,,,6.043243243243243,44.75675675675676,102.13513513513513,3.1363636363636362,17.136363636363637,14.772727272727273,30.20689655172414,16.93103448275862,88.10344827586206,225.24137931034483,49.44827586206897,12.793103448275861,132.79310344827587,16.0,2.2,37.2,58.9,0.0,2.1,40.8
Wordless,5.201970443349754,4.3397085610200365,78,1,203,1098,6.666666666666667,4.225961538461538,221,1,6,624,28.1324200913242,42.74429223744292,0.13174191116131886,167.73122775125947,3.7062815018465995,3649.069801036498,,2.9452054794520546,23.246575342465754,70.87671232876713,202.7261000575831,26.19178082191781,395.22573348395633,17.442786069651742,28.577114427860696,0.09639683796419021,140.25828960295004,1.6826429523514541,1173.0530507260382,2.36318407960199,20.970149253731343,46.01990049751244,65.16961392922434,23.333333333333332,289.19051389257027,7.144124168514413,64.58610495195862,1063.180339985218,2.6788766788766787,21.573870573870575,264.61538461538464,35.67579908675799,17.904109589041095,86.70319634703196,200.324200913242,0.0,17.04566210045662,147.6027397260274,11.472636815920398,17.62686567164179,34.35820895522388,77.30845771144278,0.0,17.47761194029851,48.35820895522388
deepchem,4.0133868808567605,3.094933184855234,45,1,747,3592,4.143884892086331,3.284730195177956,26,1,139,1742,22.650741350906095,41.39373970345964,0.14155218450282886,195.10534776387604,3.2133056853798556,4091.3616185364394,0,4.596375617792422,28.61943986820428,64.04448105436573,227.29786769646915,33.21581548599671,424.6565535084867,15.962025316455696,29.47257383966245,0.08867966084816777,137.5367193166393,1.7633865623560672,997.1614940490944,2.9240506329113924,23.48945147679325,45.434599156118146,55.39786078050527,26.41350210970464,266.0389825445032,5.167733089579524,44.68235831809872,2636.5390767824497,2.4380791912384163,23.902695871946083,2710.9224936815503,37.37852112676056,10.670774647887324,96.85035211267606,266.7957746478873,93.30985915492958,9.66725352112676,126.44014084507042,25.121863799283155,8.526881720430108,89.89964157706093,147.55913978494624,4.967741935483871,10.025089605734767,107.44444444444444
